What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1998,160,"4'11""",Female,Freshman,2,snapchat,3.4,7,3,More than half the days
1995,160,5'7,Male,Sophomore,2,Instagram,3.7,8,9,Never
1998,145,5'8,Female,Freshman,5,Whatsapp,4,7,7,Several days
1998,264,6 feet,Male,Freshman,2,Netflix,3.4,8,9,Nearly every day
1995,175,5 foot 8,Male,Senior,2,Clash royale,3,7,3,Never
,,5'6,Male,Senior,None,Whatsapp,3.4,5 or less,5,More than half the days
1995,150,"5'9""",Female,Senior,1,snapchat,3.7,7,4,Never
1996,140,"5'8""",Male,Junior,3,Snapchat,3,6,2,Never
1994,195,6'4,Male,Senior,3,Instagram,3.87,8,8,Several days
1995,170,6'0,Female,Senior,4,Snapchat,3.6,9 or more,9,Several days
1995,155,5 foot 4 inches,Female,Senior,one,Instagram,3.7,8,7,Never
1998,145,5 feet 5 inches,Female,Freshman,2,snapchat,3.2,7,8,Never
1997,135,"5'3""",Female,Sophomore,1,Twitter,,7,7,Never
1997,200,5'5',Female,Sophomore,One,Message,3.4,6,5,More than half the days
1996,155,"5'9""",Female,Junior,2,Instagram,3.5,7,4,Never
1997,128,5 ft 5,Female,Sophomore,1,Shameless,3.8,7,6,More than half the days
1996,140,5feet 4inches,Female,Sophomore,One,Twitter,3.63,8,5,Several days
1996,180,"5' 11""",Male,Junior,2,YouTube,3.2,8,4,Several days
1998,125,"5""6",Female,Freshman,1,messages,3,7,3,Never
Rochester,155,5 feet and 6 inches,Male,Sophomore,1,Messaging,3.2,8,5,Several days
1997,155,71,Male,Sophomore,1,Snapchat,3.5,8,2,Never
1997,167,"5""9",Female,Sophomore,1,Instagram,3.83,8,9,Several days
1998,165,"5'5""",Female,Freshman,none,snapchat,3.2,8,3,Never
1995,170,6' 0,Male,Junior,2,CNN,2.9,7,9,Never
1998,120,5 foot 3 inches,Female,Freshman,0,instagram,2,8,4,Nearly every day
1997,165,"5'8""",Male,Freshman,1,snapchat,2.2,7,4,Nearly every day
What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1996.451185,147.3230769,"4'11""",Female,Freshman,2.6,snapchat,2.912626655,7.4,4.781538462,More than half the days
1996.463238,146.3051282,5'9,Male,Sophomore,2.6,Instagram,2.881426852,7.4,4.725470085,Never
1996.475291,145.2871795,5'10,Female,Freshman,2.6,Whatsapp,2.850227049,7.4,4.669401709,Several days
1996.487344,144.2692308,7 feet,Male,Freshman,2.6,Netflix,2.819027246,7.4,4.613333333,Nearly every day
1996.499397,143.2512821,6 foot 8,Male,Senior,2.6,Clash royale,2.787827443,7.4,4.557264957,Never
1996.51145,142.2333333,5'7,Male,Senior,None,Whatsapp,2.75662764,6 or less,4.501196581,More than half the days
1996.523503,141.2153846,"5'9""",Female,Senior,5,snapchat,2.725427837,8,4.445128205,Never
1996.535556,140.1974359,"5'8""",Male,Junior,5.9,Snapchat,2.694228034,8.5,4.389059829,Never
1996.547609,139.1794872,6'4,Male,Senior,6.8,Instagram,2.663028231,9,4.332991453,Several days
1996.559663,138.1615385,6'8,Female,Senior,7.7,Snapchat,2.631828428,10 or more,4.276923077,Several days
1996.571716,137.1435897,6 foot 4 inches,Female,Senior,one,Instagram,2.600628625,7.775,4.220854701,Never
1996.583769,136.125641,6 feet 5 inches,Female,Freshman,0,snapchat,2.569428822,7.814705882,4.164786325,Never
1996.595822,135.1076923,"5'3""",Female,Sophomore,-1,Twitter,2.538229018,7.854411765,4.108717949,Never
1996.607875,134.0897436,5'5',Female,Sophomore,One,Message,2.507029215,7.894117647,4.052649573,More than half the days
1996.619928,133.0717949,"5'9""",Female,Junior,0,Instagram,2.475829412,7.933823529,3.996581197,Never
1996.631981,132.0538462,6 ft 5,Female,Sophomore,-1,Shameless,2.444629609,7.973529412,3.940512821,More than half the days
1996.644034,131.0358974,5feet 4inches,Female,Sophomore,One,Twitter,2.413429806,8.013235294,3.884444444,Several days
1996.656087,130.0179487,"5' 11""",Male,Junior,0.6,YouTube,2.382230003,8.052941176,3.828376068,Several days
1996.66814,129,"5""7",Female,Freshman,0.4,messages,2.3510302,8.092647059,3.772307692,Never
Rochester,127.9820513,6 feet and 6 inches,Male,Sophomore,0.2,Messaging,2.319830397,8.132352941,3.716239316,Several days
1997,126.9641026,71,Male,Sophomore,-2.22045E-16,Snapchat,2.288630594,8.172058824,3.66017094,Never
1997,125.9461538,"5""10",Female,Sophomore,-0.2,Instagram,2.257430791,8.211764706,3.604102564,Several days
1997,124.9282051,"5'5""",Female,Freshman,none,snapchat,2.226230988,8.251470588,3.548034188,Never
1997,123.9102564,6' 1,Male,Junior,0,CNN,2.195031185,8.291176471,3.491965812,Never
1997,122.8923077,6 foot 3 inches,Female,Freshman,-0.5,instagram,2.163831382,8.330882353,3.435897436,Nearly every day
1997,121.874359,"5'8""",Male,Freshman,-1,snapchat,2.132631579,8.370588235,3.37982906,Nearly every day
What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
1996.680193,120.8564103,"4'11""",Female,Freshman,2.6,snapchat,2.101431776,7.4,3.323760684,More than half the days
1996.692246,119.8384615,5'11,Male,Sophomore,2.6,Instagram,2.070231973,7.4,3.267692308,Never
1996.704299,118.8205128,5'12,Female,Freshman,2.6,Whatsapp,2.03903217,7.4,3.211623932,Several days
1996.716352,117.8025641,8 feet,Male,Freshman,2.6,Netflix,2.007832367,7.4,3.155555556,Nearly every day
1996.728405,116.7846154,7 foot 8,Male,Senior,2.6,Clash royale,1.976632564,7.4,3.099487179,Never
1996.740458,115.7666667,5'8,Male,Senior,None,Whatsapp,1.945432761,7 or less,3.043418803,More than half the days
1996.752511,114.7487179,"5'9""",Female,Senior,8.6,snapchat,1.914232958,9.5,2.987350427,Never
1996.764564,113.7307692,"5'8""",Male,Junior,9.5,Snapchat,1.883033155,10,2.931282051,Never
1996.776617,112.7128205,6'12,Male,Senior,10.4,Instagram,1.851833352,10.5,2.875213675,Several days
1996.78867,111.6948718,6'16,Female,Senior,11.3,Snapchat,1.820633549,11 or more,2.819145299,Several days
1996.800723,110.6769231,7 foot 4 inches,Female,Senior,one,Instagram,1.789433745,8.410294118,2.763076923,Never
1996.812776,109.6589744,7 feet 5 inches,Female,Freshman,-2,snapchat,1.758233942,8.45,2.707008547,Never
1996.824829,108.6410256,"5'3""",Female,Sophomore,-3,Twitter,1.727034139,8.489705882,2.650940171,Never
1996.836882,107.6230769,5'5',Female,Sophomore,One,Message,1.695834336,8.529411765,2.594871795,More than half the days
1996.848935,106.6051282,"5'9""",Female,Junior,-2,Instagram,1.664634533,8.569117647,2.538803419,Never
1996.860988,105.5871795,7 ft 5,Female,Sophomore,-3,Shameless,1.63343473,8.608823529,2.482735043,More than half the days
1996.873041,104.5692308,5feet 4inches,Female,Sophomore,One,Twitter,1.602234927,8.648529412,2.426666667,Several days
1996.885094,103.5512821,"5' 11""",Male,Junior,-0.4,YouTube,1.571035124,8.688235294,2.370598291,Several days
1996.897147,102.5333333,"5""8",Female,Freshman,-0.6,messages,1.539835321,8.727941176,2.314529915,Never
Rochester,101.5153846,7 feet and 6 inches,Male,Sophomore,-0.8,Messaging,1.508635518,8.767647059,2.258461538,Several days
1997,100.4974359,71,Male,Sophomore,-1,Snapchat,1.477435715,8.807352941,2.202393162,Never
1997,99.47948718,"5""11",Female,Sophomore,-1.2,Instagram,1.446235912,8.847058824,2.146324786,Several days
1997,98.46153846,"5'5""",Female,Freshman,none,snapchat,1.415036109,8.886764706,2.09025641,Never
1997,97.44358974,6' 2,Male,Junior,-1.5,CNN,1.383836306,8.926470588,2.034188034,Never
1997,96.42564103,7 foot 3 inches,Female,Freshman,-2,instagram,1.352636503,8.966176471,1.978119658,Nearly every day
1997,95.40769231,"5'8""",Male,Freshman,-2.5,snapchat,1.3214367,9.005882353,1.922051282,Nearly every day
What year are you born?,How much do you weigh in lbs (approximately)?,How tall are you in foot and inches (approximately)?,Gender,What year are you?,How many siblings do you have?,What is your most used phone app?,What is your current GPA?,How many hours do you sleep in a typical day?,"How likely are you agree with the following statement about yourself ""I feel very healthy""",How often have you felt like a failure or bad about yourself during the last month?
